item_id,description,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total1,total2,total3,total4,up1_sh,up2_sh,up3_sh,up4_sh,down1_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change1_sh,change2_sh,change3_sh,change4_sh,net1_sh,net2_sh,net3_sh,net4_sh,item,id_count,item_id_raw,division,date_quote_s,date_quote_e,desc_appearances,date_start,date_end,coicop4_id,group,n_shops,p_min,p_max,p_mean,p_med,p_sd,coicop5_id,order,to_adjust_id,max_id,n_obs,span,spanrank,chartrank,meat_fish,track_kg,kg,to_adjust,observations,name1,name2,name3,name4,name5,weight,coicopname,sex,origin,durability,goods_services
210101,LARGE LOAF-WHITE-SLICED-800G,3014,0,0,0,1523,0,0,0,24322,0,0,0,0.092052013,,,,-0.11569976,,,,28859,0,0,0,0.10443883,,,,0.05277383,,,,0.84278733,,,,0.15721266,,,,0.051664997,,,,1,1,210101,1,198802,200401,1,1,192,10101,101,222,0.07,1.4,0.56312937,0.54000002,0.17646977,0,790,,210101,36039,191,466,480,,0G,0,,16200,Food and drink,Food,Bread and cereals,Bread,White sliced loaf,800,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210102,LARGE LOAF-WHITE-UNSLICED-800G,4513,266,17,3,2364,157,15,1,37633,3138,480,299,0.13069457,0.13861798,0.28820923,0.10611542,-0.14278598,-0.18415642,-0.21342593,-0.083333351,44510,3561,512,303,0.10139295,0.07469812,0.033203125,0.00990099,0.053111661,0.04408874,0.029296875,0.00330033,0.8454954,0.88121313,0.9375,0.9867987,0.15450461,0.11878686,0.0625,0.013201321,0.048281286,0.03060938,0.00390625,0.00660066,2,1,210102,1,198802,202101,1,1,397,10101,101,212,0.34999999,3.6900001,0.9149313,0.83999997,0.30934039,1010103,791,,210102,52400,396,1,106,,0G,0,,33855,Food and drink,Food,Bread and cereals,Bread,White unsliced loaf,800,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210105,LARGE WHOLEMEAL LOAF-UNSLICED,2584,0,0,0,1474,0,0,0,18136,0,0,0,0.088483185,,,,-0.10683045,,,,22194,0,0,0,0.11642786,,,,0.066414349,,,,0.8171578,,,,0.18284221,,,,0.050013512,,,,3,1,210105,1,198802,200301,1,1,180,10101,101,200,0.30000001,2,0.74522442,0.75,0.14188217,0,793,,210105,27161,179,514,530,,ED,0,,10463,Food and drink,Food,Bread and cereals,Bread,Wholemeal unsliced loaf,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210106,SIX BREAD ROLLS-WHITE/BROWN,4345,240,75,17,2724,131,57,40,42515,4075,789,526,0.13910615,0.13725352,0.12198395,0.07798133,-0.13524789,-0.17608498,-0.18096103,-0.19882248,49584,4446,921,583,0.087629072,0.053981107,0.081433222,0.02915952,0.054937076,0.029464688,0.06188925,0.068610631,0.85743386,0.91655421,0.85667753,0.90222985,0.14256614,0.083445795,0.14332247,0.097770154,0.032691997,0.024516419,0.019543972,-0.039451111,4,1,210106,1,198802,202101,1,1,397,10101,101,223,0.1,5.3400002,0.79902679,0.69999999,0.39893067,1010103,1126,,210106,60141,396,1,91,,WN,0,,39425,Food and drink,Food,Bread and cereals,Bread,Bread rolls,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210107,"BROWN LOAF,400G,SLICED-GRAN",2616,0,0,0,1368,0,0,0,19754,0,0,0,0.077987403,,,,-0.084318474,,,,23738,0,0,0,0.11020305,,,,0.05762912,,,,0.8321678,,,,0.16783217,,,,0.05257393,,,,5,1,210107,1,198903,200401,1,14,192,10101,101,215,0.11,1.09,0.52304959,0.51999998,0.10124722,0,216,,210107,29361,178,536,540,,AN,0,,13485,Food and drink,Food,Bread and cereals,Bread,Granary sliced loaf,400,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210108,PITTA BREAD,762,0,0,0,669,0,0,0,11143,0,0,0,0.15671493,,,,-0.15774982,,,,12574,0,0,0,0.060601242,,,,0.053205024,,,,0.88619375,,,,0.11380626,,,,0.007396217,,,,6,1,210108,1,200002,201001,1,145,264,10101,101,158,0.19,1.59,0.57846904,0.55000001,0.19979824,0,956,,210108,14605,119,722,736,,AD,0,,14605,Food and drink,Food,Bread and cereals,Bread,Pitta bread,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210109,FRENCH STICK/BAGUETTE,334,0,0,0,210,0,0,0,4644,0,0,0,0.11872309,,,,-0.12908995,,,,5188,0,0,0,0.064379334,,,,0.040478025,,,,0.89514261,,,,0.10485736,,,,0.02390131,,,,7,1,210109,1,200102,200501,1,157,204,10101,101,109,0.23,1,0.54244423,0.44999999,0.18536258,0,569,,210109,5695,47,996,1027,,TE,0,,5695,Food and drink,Food,Bread and cereals,Bread,Baguette,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210110,LARGE WHOLEMEAL LOAF (SLICED),170,0,0,0,79,0,0,0,998,0,0,0,0.087489285,,,,-0.12668589,,,,1247,0,0,0,0.13632719,,,,0.063352048,,,,0.80032074,,,,0.19967924,,,,0.072975144,,,,8,1,210110,1,200302,200401,1,181,192,10101,101,73,0.34999999,1.28,0.78563082,0.75,0.1825778,0,792,,210110,1506,11,1183,1243,,D),0,,1506,Food and drink,Food,Bread and cereals,Bread,Wholemeal sliced loaf,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210111,WHITE SLICED LOAF BRANDED 750G,2844,416,77,39,1969,248,73,37,20552,4347,976,640,0.12361729,0.084777541,0.096506953,0.097151004,-0.10979514,-0.10240161,-0.11198176,-0.12916836,25365,5011,1126,716,0.11212301,0.083017364,0.068383656,0.054469272,0.077626653,0.049491119,0.064831264,0.051675979,0.81025034,0.86749154,0.86678511,0.89385474,0.18974966,0.13250849,0.13321492,0.10614525,0.034496352,0.033526246,0.003552392,0.002793293,9,1,210111,1,200402,202101,1,193,397,10101,101,132,0.23,2.79,1.0496614,1.05,0.27596483,1010103,1264,,210111,28681,204,384,403,,0G,0,,26443,Food and drink,Food,Bread and cereals,Bread,"White sliced loaf, branded",750,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210112,BROWN SLICED LOAF BRANDED 400G,228,0,0,0,122,0,0,0,1839,0,0,0,0.07241296,,,,-0.088430591,,,,2189,0,0,0,0.10415715,,,,0.055733211,,,,0.84010965,,,,0.15989035,,,,0.048423938,,,,10,1,210112,1,200402,200601,1,193,216,10101,101,81,0.30000001,1.09,0.63286501,0.66000003,0.13840304,0,217,,210112,2719,23,1128,1151,,0G,0,,2719,Food and drink,Food,Bread and cereals,Bread,"Brown sliced loaf, branded",400,Food and non-alcoholic beverages,Unisex,2,ND,Goods
